ID,Embedding,Document,Metadata
10,"[-0.48554546 -0.28056857 -0.02046691 ...  0.139926   -0.19032983
  0.2849603 ]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 6]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service   2 Service (CRS) relied on the introduced bill and adopted amendment text published by the House 
Committee on Agriculture.7 Following the summaries of each of the 12 titles included in  H.R. 
8467 , this report includes tables describing each provision in the bill and provides a direct 
comparison of these provisions to current law.  
Budgetary Impact  
When H.R. 8467  was marked up in committee, the Congressional Budget Office (CBO) had not 
released an official score, though the press had reported on preliminary scores for sections of the 
bill.8 Committees do not need a CBO score to mark up bills. Scor es are required for reported bills 
only before consideration on the chamber floor.9 On August 2, 2024, CBO published a score of 
H.R. 8467  “as ordered reported on May 23, 2024, and with subsequent amendments as provided 
by the House Committee on Agriculture on July 30, 2024 .”10 The score indicates that the bill 
would increase direct (mandatory) spending that is subject to budget enforcement, such as pay-as-
you-go (PAYGO) ,11 by $15.4 billion over five  years (FY2025 -FY2029) and by $33.0 billion over 
nine years (FY2025 -FY2033) compared with the May 2023 CBO baseline ( Table 1).12 
Budget Background for the Farm Bill  
Budget enforcement in Congress uses baseline and scoring procedures followed by the nonpartisan Congressional 
Budget Office (CBO) to determine whether proposed changes in a bill would increase or decrease government  
spending. The baseline  is a projection of what current law would cost if it were continued; it is a benchmark of 
assumptions about current economic conditions against which proposed changes in a bill are compared. The score 
is the effect that each provisi on, or the bill in total, is expected to have against the baseline ( CRS Report 98 -560, 
Baselines and Scorekeeping in the Federal Budget Process ).",
11,"[-0.23935837 -0.04096006 -0.23567019 ...  0.18904281 -0.30301002
  0.15895805]","is the effect that each provisi on, or the bill in total, is expected to have against the baseline ( CRS Report 98 -560, 
Baselines and Scorekeeping in the Federal Budget Process ).  
A bill’s score may be grouped in various ways or subtotal ed by title, but it is the sum that determines whether it 
meets budget enforcement requirements, such as pay -as-you-go (PAYGO) or cut -as-you-go (CUTGO) ( CRS In 
Focus IF11032, Budgetary Decisionmaking in Co ngress ). PAYGO  refers to both a law and House and Senate rules that 
bills should not increase the deficit; essentially, that budgetary increases are fully offset by reductions so that the 
net score of a bill is zero ( CRS Report R41157, The Statutory Pay -As-You-Go Act of 2010: Summary and Legislative 
History ; CRS Report R47413, Points of Order in the Congressional Budget Process ; and CRS Report RL31943, Budget 
Enforcement Procedures: The Senate Pay -As-You-Go (PAYGO) Rule ). CUTGO  is a protocol in the House during the 118th 
Congress prohibiting offsets from having revenue -raising provi sions ( CRS Report R41510, House Rule XXI, Clause 
10: The CUTGO Rule ). 
Four titles of the farm bill account for over 99% of the baseline (nutrition, crop insurance, farm commodities, and 
conservation).  Budget laws require CBO to score proposed changes over a 10 -year budget window regardless of 
 
7 See U.S. House of Representatives Committee Repository, “H.R. 8467 (118th Congress), The Farm, Food, and 
National Security Act of 2024,” https://docs.house.gov/ Committee/ Calendar/ ByEvent.aspx? EventId= 117371 .  
8 The Hagstrom Report , “Thompson Bill to Increase Farm Subsidies by Suspending CCC Authority ,” vol. 14, no. 103, 
May 1 7, 2024; Phillip Brasher and Noah Wicks , “House  Ag GOP Farm Bill Boosts Reference Prices Sharply, but",
12,"[-0.09988286  0.02474426 -0.15358548 ... -0.46727797 -0.01415445
 -0.23998772]","May 1 7, 2024; Phillip Brasher and Noah Wicks , “House  Ag GOP Farm Bill Boosts Reference Prices Sharply, but 
Leaves Funding Gap,” Agri-Pulse , May 17, 2024; Noah Wicks, “ House Farm Bill Proposal Maintains CRP Acreage 
Cap,” Agri-Pulse , May 17, 2024; Phillip Brasher et al., “ CBO Lays Out Thompson’s Farm Bill Funding Gap,” Agri-
Pulse Daybreak , May 22, 2024; The Hagstrom Report , “Thompson to Proceed with Farm Bill Markup Despite Scoring 
Dispute ,” vol.  14, no. 106, May 22, 2024; and Marc Heller, “ Committee OKs Farm Bill After Scrap over Climate -
Smart Ag,” E&E Daily by Politico , May 24, 2024.  
9 CRS Report R47413, Points of Order in the Congressional Budget Process .  
10 Congressional Budget Office (C BO), “ H.R. 8467, Farm, Food, and National Security Act of 2024 ,” August 2, 2024, 
https:// www. cbo.gov/publication/60594 . 
11 CRS In Focus IF11032, Budge tary Decisionmaking in Congress . 
12 The CBO score of  H.R. 8467  covers the 10 years FY2024 -FY2033 because CBO scored it against the May 2023 
baseline. Because CBO assumes enactment of the bill near the end of FY2024, the estimated effect on FY2024 is zero. 
Ther efore, effects are estimated over the remaining nine years, FY2025 -FY2033.",
13,"[ 0.0817567   0.26160714  0.01647228 ...  0.04880538 -0.0240138
  0.46339351]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 7]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service   3 the length of the authorization.  The current 10 -year baseline projection for FY2025 -FY2034 as of June 2024 is 
$1.36 trillion. The May 2023 baseline that CBO used to s core the bill was $1.46 trillion over FY2024 -FY2033 , or 
$1.32 trillion over the nine years FY2025 -FY2033 that are affected in  the score of H.R. 8467 . 
Recent farm bills have had posi tive, neutral, and negative scores: the 2002 farm bill added $75 billion to the 
baseline over 10 years, the 2014 farm bill reduced spending by $16 billion, and the 2008 and 2018 farm bills were 
budget neutral —adding spending to some programs using offsets from reductions to other programs ( CRS In 
Focus IF12233, Farm Bill Primer: Budget Dynamics ). The one -year extension of the 2018 farm bill ( P.L. 118 -22, 
Division B, §102) was budget neutral for programs with baseline and provided $177 million for one year for 19 
programs without a mandatory budget baseline by using an offset ( CRS In Focus IF12115, Farm Bill Primer: Programs 
Without Baseline Beyond FY2024 ). 
The CBO score for the farm commodity programs (Title I)  is an increase in projected payments  
(outlays)  of $47.0 billion over the nine years  FY2025 -FY2033 ( Table 1). The May 2023 baseline 
against which this was estimated was $67 billion over the nine years . This increase in esti mated  
cost would be partially offset by restricting the discretionary use of the Commodity Credit 
Corporation (CCC), which CBO scored as a $3.6 billion reduction.13 Thus, the net cost of Title I 
is estimated  to be an increase in outlays of $43.4 billion over nine year s.  
Discretionary use of the CCC had not had any projected baseline until March 2020.14 The May",
14,"[-0.08951235  0.28526753  0.23288022 ... -0.30247742 -0.14408815
 -0.03703133]","is estimated  to be an increase in outlays of $43.4 billion over nine year s.  
Discretionary use of the CCC had not had any projected baseline until March 2020.14 The May 
2023 baseline estimated $9 billion of baseline for the nine years FY2025 -FY2033. The CBO 
score explains that the full $9 billion of baseline may not be realized  as savings. The House 
Agriculture Committee has argued that the offset should be valued higher, based on USDA’s past 
use of the authority from 2018 to 2023, and should completely  offset the title’s increase.15 
Baselines and scores, however, are forward -looking projections , which make s accounting for 
possible future administrative actions difficult.  
The CBO score of the conservation title (Title II) is an increase of the permanent baseline for 
farm bill conserv ation programs by $9.9 billion above the  May 2023  $55 billion nine -year 
baseline projection for FY2025 -FY2033. The increase would be more than offset by rescinding  
$11.7 billion of agricultural conservation funding under P.L. 117 -169 (referred to as the Inflation 
Reduction Act of 2022, or IRA) that is available through FY2031. Thus, the net effect on 
agricultural conservation activities is a net reduction of $1.8 billion over nine years  (Table 1). 
The CBO score of the nutrition title (Title IV) shows an increase in some benefits totaling $10.1 
billion over the nine years F Y2025 -FY2033, but the title’s score does not include the offset in 
Title XII that would limit sched uled future updates to Supplemental Nutrition Assistance Program 
(SNAP) benefits from the Thrifty Food Plan (TFP). The TFP limits plus CBO -scored interaction  
effects with Title IV provisions sum to a $30.6 billion reduction  over nine years compared with 
the nine -year $1.1 trillion baseline projection  made  in May 2023. Thus, nutrition programs score 
a net $20.6 billion reduction, according to CBO ( Table 1). 
Other titles in the farm bill (trade, rural development, research, forestry, energy, horticulture, crop",
15,"[ 0.25121093 -0.3620266   0.41773188 ...  0.47046846  0.03011485
  0.20178029]","a net $20.6 billion reduction, according to CBO ( Table 1). 
Other titles in the farm bill (trade, rural development, research, forestry, energy, horticulture, crop 
insurance , and miscellaneous) would share an increa se of $12.0 billion to their baselines.  
 
13 For background on discretionary use authority, see CRS Report R44606, The Commodity Credit Corporation (CCC) . 
14 CBO detailed its methodology in the June 2024 baseline.  CBO, “ Details About Baseline Projections for Selected 
Program ,” https:// www. cbo.gov/data/ baseline -projections -selected -programs .  
15 House Agriculture Committee, “Inaccuracies in the Congressional Budget Office Forecast of Spending Under 
Authority Granted by Section 5 of the Commodity Credit Corporation Charter Act,” May 23, 2024, https:// agriculture.
house.gov/uploadedfiles/cbos_ccc_inaccuracies.pdf ; and House Agriculture Committee, “Chairman Thompson’s 
Statement on CBO Score of Bipartisan Farm, Food, and National Security Act of 2024,” August 2, 2 024, 
https://agriculture.house.gov/ news/ documentsingle.aspx? DocumentID= 7806 .",
16,"[ 0.14696585 -0.10469711  0.25808692 ... -0.26500535 -0.17605896
  0.00059769]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 8]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service   4 CBO periodically updates the baseline projection for new economic conditions, which may affect 
new scoring estimates. CBO also advances the budget years that are projected on a rolling 10 -
year basis. The May 2023 ba seline that was used to score the House farm bill markup covered 
FY2024 -FY2033. The June 2024 baseline covers different years (i.e., FY2025 -FY2034) and 
would result in a different score if it were used —not only because of an additional year of costs 
(FY203 4) in a 10 -year window starting in FY2025 but also because of different assumptions 
about eligibility, prices , and the economy.  
T able 1. Estimated Changes in Mandatory  Spending Under H.R. 8467  
(million dollars outlays)  
 
FY2025  FY2026  FY2027  FY2028  FY2029  FY2030  FY2031  FY2032  FY2033  5 years: 
FY2025 -
FY2029  9 years: 
FY2025 -
FY2033  
Title I, Commodities, other 
than §1608, Limitation on CCC 
Authority  82 137 6,209  6,672  6,669  6,141  6,751  7,178  7,137  19,769  46,976  
§1608, Limitation on CCC  -400 -400 -400 -400 -400 -400 -400 -400 -400 -2,000  -3,600  
Total, Title I, 
Commodities  -318 -263 5,809  6,272  6,269  5,741  6,351  6,778  6,737  17,769  43,376  
Title II, Conservation, other",
17,"[-0.14068598  0.17425807  0.45572981 ... -0.37976256 -0.04218943
 -0.43791488]","Title II, Conservation, other 
than §2502, Rescissions of IRA  495 806 779 947 1,181  1,303  1,173  1,628  1,620  4,208  9,932  
§2502, Rescissions of IRA  -450 -1,439  -2,472  -2,543  -2,361  -1,666  -771 0 0 -9,265  -11,702  
Total, Title II, 
Conservation  45 -633 -1,693  -1,596  -1,180  -363 402 1,628  1,620  -5,057  -1,770  
Title III, Trade  249 249 249 249 249 235 235 235 235 1,245  2,185  
Title IV, Nutrition  757 1,139  1,193  1,161  1,139  1,143  1,140  1,188  1,196  5,389  10,056  
§12401, Thrifty Food Plan 
and Interaction Effects 
with Title IV  -3 -4 -3,330  -3,430  -3,430  -3,440  -3,440  -6,680  -6,890  -10,197  -30,647  
Total, Nutrition Programs  754 1,135  -2,137  -2,269  -2,291  -2,297  -2,300  -5,492  -5,694  -4,808  -20,591  
Title VI, Rural Development  2 8 15 13 -4 -18 -11 -4 -1 34 0 
Title VII, Research, Extension, 
and Related Matters  96 250 417 568 615 559 453 295 145 1,946  3,398  
Title VIII, Forestry  2 2 2 2 2 0 0 0 0 10 10 
Title IX, Energy  5 10 10 10 10 5 0 0 0 45 50 
Title X, Horticulture  51 52 49 49 49 30 30 30 30 250 370 
Title XI, Crop Insurance  277 349 365 379 397 407 428 448 466 1,767  3,516",
18,"[-0.44128463 -0.2955395   0.4399716  ...  0.26615012  0.38818961
 -0.31103384]","Title X, Horticulture  51 52 49 49 49 30 30 30 30 250 370 
Title XI, Crop Insurance  277 349 365 379 397 407 428 448 466 1,767  3,516  
Title XII, Miscellaneous, other 
than §12401, Thrifty Food Plan  265 451 534 589 344 59 60 62 65 2,183  2,429  
Total Changes, All Titles  1,428  1,610  3,620  4,266  4,460  4,358  5,648  3,980  3,603  15,384  32,973  
Source: CRS, using Congressional Budget Office (CBO), “H.R. 8467, Farm, Food, and National Security Act of 
2024,” August 2, 2024, https://www.cbo.gov/ publication/ 60594 . 
Notes:  CBO e stimated the effect on outlays for FY2024 -FY2033, relative to CBO’s May 2 023 baseline  and 
assuming enactment late in FY2024 . All amounts in the score for FY2024 were zero, and thus are not shown in 
this table. Offsets in Titles I, II and IV are organized consistent with CBO Table 5 in the score for the nutrition 
programs, which  incorporates offsets separately. Title V is not included in the table , because it has no provisions 
that would affect mandatory spending.",
19,"[ 0.35283613  0.01128233  0.33994088 ... -0.06035863  0.47830552
 -0.0516795 ]","[Extract from Farm_Bill_PDF_20241107_202042.pdf - Page 9]
The 2024 Farm Bill: H.R. 8467 Compared with Current Law  
 
Congressional Research Service   5 Title-by-Title Summary  
This section provides a brief narrative summary and key provisions of each title within  H.R. 
8467 . Within each title summary, a text box outlines the structure of each title and includes links 
to the respective subtitles in the side -by-side tables found later in this report.  
Title I, Commodities  
Title I of the farm bill authorizes  agricultural commod ity support  and disaster assistance 
programs. These programs provide income support to agricultural producers for certain natural 
disasters, adverse growing conditions, and/or low market prices. Commodity support is 
authorized for certain crops, dairy, and  sugar . Disaster assistance is available for a wide variety of 
crops and livestock. USDA’s Farm Service Agency (FSA) administers these programs.  
H.R. 8467  would suspend non -expiring farm bill 
provisions from the 1930s and 1940s through crop y ear 
2029, amend and extend the commodity support 
programs from the 2018 farm bill through crop year 
2029, amend the permanently authorized agricultural 
disaster assistance programs, and restrict the Secretary 
of Agriculture’s use of CCC funds and authoriti es for 
FY2025 through FY2034 ( Table 2).16  
Commodity Policy  
The Agriculture Risk Coverage (ARC), Price Loss 
Coverage (PLC), Marketing Assistance Loan ( MAL), and Loan Deficiency Payment (LDP) 
programs provide support to eligible producers of corn, soybeans, wheat, cotton, rice, peanuts, 
and certain other commodities.17 The ARC program provides payments per base acre triggered by 
low average county revenue  relative to recent historical averages.18 The PLC program provides 
payments per base acre triggered by low average national prices relative to statutory reference 
prices.  
• Base Acres. H.R. 8467  would grant  eligible agricultural producers a one -time 
option to expand  and allocate  base acre holdings in proportion to average 2019 -",
20,"[ 0.270062    0.39308146  0.8198716  ... -0.12512961 -0.11372633
 -0.47967818]","prices.  
• Base Acres. H.R. 8467  would grant  eligible agricultural producers a one -time 
option to expand  and allocate  base acre holdings in proportion to average 2019 -
2023 plantings of covered and noncovere d commodities . H.R. 8467  would limit 
the total existing unassigned and new base acres to no more than 30 million 
acres .  
• ARC . H.R. 8467  would increase the county revenue guarantee from 86% to 90% 
of historical average revenue and increase the maximum payment amount from 
10% to 12.5% of the county revenue guarantee.  
• PLC . H.R. 8467  would increase the statutory reference prices by 21% for rice; 
19% for soybeans, dry peas, lentils, and small and large chickpeas; 18% for 
 
16 For background on non -expiring farm bill commodity support provisions, see CRS Report R47659, Expiration of the 
2018 Farm Bill and Extension in 2024 . For additional information on the CCC, see CRS Report R44606, The 
Commodity Credit Corpora tion (CCC) . 
17 CRS In Focus IF12114, Farm Bill Primer: PLC and ARC Farm Support Programs ; and CRS In Focus IF12140, 
Farm Bill Primer: MAL and LDP Farm Support Programs . 
18 CRS In Focus IF12418, U.S. Farm Commodity Support: Base Acres and Payment Yields .  Side-by-Side Comparison 
Commodities  
Subtitle A – Commodity Policy  
Subtitle B – Marketing Loans  
Subtitle C – Sugar   
Subtitle D – Dairy  
Subtitle E – Supplemental Agricultural 
Disaster Assistance Programs  
Subtitle F – Administration",
