ID,Embedding,Document,Metadata
10,"[ 0.07009221  0.45135301  0.74123049 ...  0.12459995 -0.20620123
 -0.22223517]","Stat. 4079, 4396-4397 (1990) (codified as amended at 42 U.S.C. § 5306 note).   
4U.S. Congress, Joint Explanatory Statement of the Committee on Appropriations, House 
of Representatives, 117th Congress, 2d Session, Washington D.C. 2023, Book 2, 
Divisions G -N, pp. 2863-2864, accompanying Pub. L. No. 117-328.  
5All these data sources represented the most recent available data. To assess the 
reliability of these data, we interviewed federal officials knowledgeable about the data, reviewed existing information on the data and the system that produced them, and 
reviewed a GAO data reliability assessment for another  report using the data, among 
other things. We found these data to be sufficiently reliable for the purposes of describing 
conditions in colonias.",
11,"[ 0.01215073  0.48666921 -0.1166434  ... -0.24365826  0.00803082
  0.01704433]","[Extract from GAO_PDF_20241020_220257.pdf - Page 8]
 
     
Page 3  GAO -24-106732  Colonias Communities  For our second objective, we reviewed laws and regulations and agency 
materials. We then established and applied criteria to determine which 
federal programs provided targeted assistance to colonias. For each 
targeted program, we analyzed agency documentation on how funds can 
be used and obtained annual obligations from fiscal years 2020 through 
2023.6 We also analyzed legislation, regulations , and additional agency 
information on eligibility criteria for each program and summarized site 
visit observations of projects funded with targeted programs. In addition, 
we assessed U.S. Department of Agriculture (USDA) Single Family 
Housing processes  against statutory and agency requirements. 
For our third objective, we reviewed relevant literature and interviewed the parties described above, as well as recipients of funding from programs that provide targeted assistance to colonias. We also observed 
evidence of challenges faced by colonias, as  well as actions that had 
been undertaken to address these challenges. To determine the potential 
effect of population changes on communities’ eligibility for targeted 
programs, we reviewed statutory and regulatory eligibility requirements 
that apply to colonias for HUD and USDA programs, and we analyzed 
geographic data from HUD on the communities that are currently eligible 
as colonias under its definition. In the interviews described above, we 
discussed federal efforts to collaborate across agencies and w ith local 
governments and to mitigate challenges to obtaining funding. 
See appendix I for more detailed information on our scope and 
methodology. 
We conducted this performance audit from March 2023 to September 
2024 in accordance with generally accepted government auditing 
standards. Those standards require that we plan and perform the audit to 
obtain sufficient, appropriate evidence to provide a reasonable basis for 
our findings and conclusions based on our audit objectives. We believe 
that the evidence obtained provides a reasonable basis for our findings 
and conclusions based on our audit objectives.  
 
 
 
6An obligation is a definite commitment that creates a legal liability of the United States 
government for the payment of goods or services, or a legal duty on the part of the United",
12,"[-0.48806286  0.05028723 -0.82439888 ... -0.18122493  0.03139044
  0.85328907]","6An obligation is a definite commitment that creates a legal liability of the United States 
government for the payment of goods or services, or a legal duty on the part of the United 
States government that could mature into a legal liability. An agency incurs an obligation, for example, when it signs a grant or loan agreement,",
13,"[ 0.0167902   0.7419619   0.78712219 ... -0.07019192 -0.5516367
 -0.4080672 ]","[Extract from GAO_PDF_20241020_220257.pdf - Page 9]
 
     
Page 4 GAO -24-106732  Colonias Communities   
 
The history of the development of colonias varies among the border 
states, with some colonias dating back over a century. For example, some colonias in New Mexico began as settlements associated with early 
U.S. military forts and Catholic missionary activities. Colonias in California 
were established before 1929, when subdivision laws went into effect in 
the state, according to one study.
7 
However, the development of colonias began to accelerate in the mid-
20th century. For example, colonias emerged in Texas around the 1950s, 
when developers began subdividing agriculturally valueless land in unincorporated areas and selling it to individuals  looking for affordable 
housing. These developers could subdivide and sell this land as residential without providing basic infrastructure because, at the time, county governments in Texas could not regulate the subdivision of land 
outside the jurisdiction of city governments, according to a government 
report.
8 Additionally, colonias referred to as “wildcat subdivisions ” 
emerged in Arizona in the 1950s, established by individuals who did not 
understand or wish to follow government regulations.  
Present-day colonias are communities of all types and sizes, both 
incorporated and unincorporated. They include high-poverty subdivisions, 
retirement communities, and tribal reservations. These communities are found throughout the border region, with the majority concentrated in 
Texas (see fig. 1). Communities are designated as colonias via a process 
that varies by state and generally involves an act of local government, such as a resolution by a County Board of Commissioners.  
 
7Vinit Mukhija and Paavo Monkkonen, “Federal Colonias Policy in California: Too Broad 
and Too Narrow, ” Housing Policy Debate, vol. 17, no. 4 (2006): 755– 780. 
8Department of the Interior, U.S. Geological Survey, CHIPS: A New Way to Monitor 
Colonias Along the United States -Mexico Border , Open-File Report 2007-1230 (Reston,",
14,"[-0.40085509  0.77074885  0.42031828 ... -0.32368985 -0.31376559
 -0.02916981]","8Department of the Interior, U.S. Geological Survey, CHIPS: A New Way to Monitor 
Colonias Along the United States -Mexico Border , Open-File Report 2007-1230 (Reston, 
Virginia: 2007).  Background  
Development of Colonias",
15,"[ 0.00885412  0.28899091  0.2045061  ... -0.35037771 -0.02492012
  0.15693872]","[Extract from GAO_PDF_20241020_220257.pdf - Page 10]
 
     
Page 5 GAO -24-106732  Colonias Communities  Figure 1: Location of Colonias in Arizona, California, New Mexico, and Texas, as of 2010  
 
Note: The figure reflects the location of colonias included in Department of Housing and Urban 
Development or University of New Mexico data as of 2010. 
 
Legislation in the early 1990s established a set-aside and preference 
within new and existing federal programs for colonias. This targeted assistance is administered by HUD and USDA. For example, the 
Cranston-Gonzalez National Affordable Housing Act, as am ended, 
established a set-aside for colonias that directs HUD to provide grants to 
colonias using funds that may be made available through the CDBG State 
Program. In addition, legislation established targeted assistance for 
colonias through USDA ’s Rural Development grant and loan programs. 
To be eligible for the targeted assistance through these programs, a community must meet the applicable program’ s specific definition of a 
colonia, which can vary. However, all of these programs require that a 
community demonstrate lack of potable water systems, adequate sewage 
systems, and safe and sanitary housing. 
Federal Assistance to 
Colonias",
16,"[ 0.05149793  0.60936433 -0.06547675 ...  0.08537865 -0.50701177
 -0.21858858]","[Extract from GAO_PDF_20241020_220257.pdf - Page 11]
 
     
Page 6 GAO -24-106732  Colonias Communities   
  
 
  
According to our analysis, areas with colonias were generally more 
economically disadvantaged than other border regions of each state in 
2017– 2021.
9 
• Poverty. In all four border states, the percent of families in areas with 
colonias living below the poverty level was about 3 to 9 percentage points higher than in the other border regions.
10 
• Employment. In California and Texas, unemployment rates of the population age 16 and older in areas with colonias were about 2 to 3 percentage points higher than in the other border regions of these 
 
9These estimates are based on the American Community Survey ’s 2017 –2021 5-year 
data. In our analysis, unless otherwise stated, areas with colonias are all census tracts in 
each border state that contain one or more colonias included in Department of Housing and Urban Development or University of New Mexico data as of 2010. The other border 
regions of each state are all census tracts within 150 miles of the U.S. -Mexico border 
excluding census tracts that contain one or more colonias or are in metropolitan statistical 
areas with a population exceeding 1 million.  
10The Census Bureau uses money income thresholds that vary by family size and 
composition to determine who is in poverty. If a family ’s total income is less than the 
associated income threshold, then that family and every individual in it are considered to be in poverty.  Areas with Colonias 
Generally Face 
Economic, 
Infrastructure, and 
Environmental 
Challenges  
Areas with Colonias Tend 
to Be Economically 
Disadvantaged Compared 
with Other Border Regions",
17,"[ 0.16487877  0.35058042 -0.29130578 ...  0.06127389 -0.65062904
  0.11831819]","[Extract from GAO_PDF_20241020_220257.pdf - Page 12]
 
     
Page 7  GAO -24-106732  Colonias Communities  states.11 In Arizona and New Mexico, unemployment rates were not 
statistically different than in the other border regions.12 
• Educational attainment. In all four border states, the percent of the 
population age 25 and older with less than a high school education 
was about 7 to 15 percentage points higher in areas with colonias 
than in the other border regions. Research has found that lower 
educational attainment is generally correlated with both lower 
earnings and higher unemployment rates.13 
See figure 2 for more information on how areas with colonias compare 
with other border regions and the state overall in terms of these economic characteristics.  
 
11According to the Bureau of Labor Statistics, individuals age 16 and older are considered 
employed if they have worked at least 1 hour in the last 4 weeks for themselves or as a 
paid employee or were temporarily on leave, and unemployed if they are not working but 
have actively looked for work within the last 4 weeks.  
12The unemployment rate of communities with low labor force participation may not reflect 
the true rate of unemployment because certain populations are not counted as 
unemployed— such as individuals not participating in the labor force. To be considered 
participating in the labor force, an individual must either be employed or have been 
actively looking for work within the last week. We found that in areas with colonias, the percentage of the population age 16 and older who were in the labor force was 3 to 23 
percentage points lower than in other border regions, and that labor force participation in 
areas with colonias was statistically different from other border regions in all four border states. Individuals in low -income communities generally face greater barriers to 
employment —such as lack of transportation and childcare —that may discourage them 
from pursuing employment opportunities. See Kelly Edmiston, “Why Aren ’t More People 
Working in Low - and Moderate-Income Areas?, ” Economic Review (Federal Reserve 
Bank of Kansas, 2019).  
13Bureau of Labor Statistics, “Education Pays, 2022, ” Career Outlook  (May 2023),",
18,"[-0.53992361 -0.3551676  -0.77699536 ... -0.33438885 -0.80246389
 -0.19743545]","Bank of Kansas, 2019).  
13Bureau of Labor Statistics, “Education Pays, 2022, ” Career Outlook  (May 2023), 
accessed June 7, 2024, https://www.bls.gov/careeroutlook/2023/data- on-
display/education-pays.htm .",
19,"[ 0.19753049  0.60518473 -0.00437165 ... -0.18105796 -0.45489851
 -0.32308444]","[Extract from GAO_PDF_20241020_220257.pdf - Page 13]
 
     
Page 8 GAO -24-106732  Colonias Communities  Figure 2: Selected Economic Characteristics in Areas with Colonias, 2017– 2021  
 
aAreas with colonias are census tracts that contain one or more colonias included in Department of 
Housing and Urban Development or University of New Mexico data as of 2010. 
bOther border regions are census tracts within 150 miles of the U.S.-Mexico border in each state that 
do not contain one or more colonias. 
 
According to our analysis, certain housing characteristics in areas with 
colonias differed from those in the other border regions of each state in 
2017– 2021:14 
• Housing type. In all four border states, the percent of housing units 
that were mobile homes was about 7 to 22 percentage points higher 
 
14These estimates are based on the American Community Survey ’s 2017 –2021 5-year 
data.  
Housing Characteristics 
Generally Differ between 
Areas with Colonias and 
Other Border Regions",
20,"[-0.20820047  0.36527225 -0.0761298  ...  0.21642776  0.35050222
 -0.21928027]","[Extract from GAO_PDF_20241020_220257.pdf - Page 14]
 
     
Page 9  GAO -24-106732  Colonias Communities  in areas with colonias than in the other border regions.15 Mobile 
homes may be more common in these areas because they are 
generally more affordable than site- built housing.16 See figure 3 for 
examples of housing types we observed on our site visits to the four 
border states. 
 
15While the term “mobile home” is often used colloquially, HUD has used the term 
“manufactured home” since 1980 to refer to a “mobile home. ” See Pub. L. No. 96-399, § 
308(c)(4), 94 Stat. 1641 (1980), amending Pub. L. No. 106-569, 88 Stat. 700 (1974) 
(modifying the term “mobile home” to “manufactured home” in the National Manufactured 
Housing Construction and Safety Standards Act of 1974, which established federal construction and safety standards for mobile homes). To be considered a manufactured 
home (formerly a mobile home), the dwelling must meet federal manufactured home 
constructi on and safety standards, which are regulated and enforced by HUD. 42 U.S.C. 
§§ 5401- 5426, 24 C.F.R. pts. 3280, 3282.  
16Site-built housing is constructed at permanent locations, whereas a manufactured home 
(i.e., a mobile home) is prefabricated housing that is assembled in factories and then 
transported to sites of use. According to the Census Bureau, the average sales pric e of a 
new manufactured home in 2023 was around $124,300, while the average sales price of a 
new site- built home was $514,000.",
21,"[ 0.23842168  0.59116387  0.27862263 ... -0.20367037 -0.03385452
 -0.3057133 ]","[Extract from GAO_PDF_20241020_220257.pdf - Page 15]
 
     
Page 10 GAO -24-106732  Colonias Communities  Figure 3: Examples of Different Housing Types in Colonias  
 
• Housing value. In all four border states, the percent of housing units 
valued below $100,000 was about 11 to 20 percentage points higher 
in areas with colonias than in the other border regions. This difference may be explained, in part, by areas with colonias having a 
higher percentage of inexpensive housing types, such as mobile 
homes. 


[Extract from GAO_PDF_20241020_220257.pdf - Page 16]
 
     
Page 11 GAO -24-106732  Colonias Communities  • Housing age. In California, New Mexico, and Texas, the percent of 
housing units built in 1990 or later was about 5 to 30 percentage 
points higher in areas with colonias than in the other border regions of these states. In Arizona, the percent of housing units built in 1990 or later in areas with colonias  was not statistically different from the 
other border regions. Targeted federal assistance to colonias started 
to become available in the early 1990s, which may help explain an 
increase in development in these areas. 
See figure 4 for additional information on housing characteristics in areas 
with colonias. 
Figure 4: Selected Housing Characteristics in Areas with Colonias, 2017– 2021  
 
aAreas with colonias are census tracts that contain one or more colonias included in Department of 
Housing and Urban Development or University of New Mexico data as of 2010. 
bOther border regions are census tracts within 150 miles of the U.S.-Mexico border in each state that 
do not contain one or more colonias.",
22,"[ 0.15796846  0.53225291 -0.06861334 ... -0.19065386 -0.30372167
 -0.10051841]","[Extract from GAO_PDF_20241020_220257.pdf - Page 17]
 
     
Page 12  GAO -24-106732  Colonias Communities  Certain occupancy characteristics of housing in areas with colonias also 
differed from those in the other border regions in each state in 2017–
2021:17 
• Owner -occupancy. In all four border states, the percent of owner -
occupied housing units was about 5 to 15 percentage points higher in areas with colonias than in the other border regions. Research has 
found that residents of colonias may use unconventional financing—
such as contracts for deed—to buy a home because low -income 
individuals often do not qualify for conventional financing.
18 
• Vacancy. In Arizona, California, and New Mexico, the percent of 
vacant housing units was about 5 to 16 percentage points higher in areas with colonias than in the other border regions in each state. In 
Texas, the percent of vacant housing units in areas with colonias was 
not statistically different from the border regions.
19 In colonias, 
properties may be vacant for various reasons —for example, a 
property owner may have moved but not have sold the property due to a lack of available financing in these areas.
20 
• Overcrowding. In Arizona and Texas, the percent of housing units 
that were overcrowded was about 2 to 5 percentage points higher in areas with colonias than in the other border regions.
21 In California 
and New Mexico, overcrowding in areas with colonias was not 
statistically different than in the border regions. Research has found 
that overcrowding often stems from a lack  of affordable housing. For 
 
17These estimates are based on the American Community Survey ’s 2017 –2021 5-year 
data.  
18Some colonia residents have purchased their homes through an unconventional 
financing mechanism called a contract for deed. Through a contract for deed, the 
purchase of a property is financed by the seller, rather than through a third- party lender 
such as a commercial bank. Under this arrangement, the buyer takes immediate 
possession of the property, often paying little or nothing down, but the seller retains the",
23,"[-0.23488116  0.78006119 -0.22639441 ... -0.05292399 -0.08012043
  0.2229315 ]","such as a commercial bank. Under this arrangement, the buyer takes immediate 
possession of the property, often paying little or nothing down, but the seller retains the 
legal title to the property until the buyer has paid off the purchase price. See Peter M. 
Ward,  Heather K. Way, and Lucille Wood, The Contract for Deed Prevalence Project: A 
Final Report to the Texas Department of Housing and Community Affairs  (August 2012).  
19According to the American Community Survey, a housing unit is considered vacant if no 
one is living there at the time of the interview.  
20Noah J. Durst and Peter M. Ward, “Lot Vacancy and Property Abandonment: Colonias 
and Informal Subdivisions in Texas, ” International Journal of Housing Policy , vol. 15, no. 4 
(2015), 377 –399.  
21We defined overcrowding as more than one person per room. See Kevin S. Blake, 
Rebecca L. Kellerson, and Aleksandra Simic, Measuring Overcrowding in Housing 
(Department of Housing and Urban Development, 2007).",
24,"[ 0.07612132  0.71980143  0.43393371 ... -0.09633183 -0.21451354
 -0.33071166]","[Extract from GAO_PDF_20241020_220257.pdf - Page 18]
 
     
Page 13 GAO -24-106732  Colonias Communities  example, individuals or families may share housing with others when 
they cannot afford housing on their own.22 
See figure 5 for additional information on occupancy characteristics of 
housing in areas with colonias.  
Figure 5: Selected Occupancy Characteristics of Housing in Areas with Colonias, 2017 –2021  
 
aWe defined overcrowding as more than one person per room. See Department of Housing and 
Urban Development, Measuring Overcrowding in Housing (2007). 
bAreas with colonias are census tracts that contain one or more colonias included in Department of 
Housing and Urban Development or University of New Mexico data as of 2010. 
cOther border regions are census tracts within 150 miles of the U.S.-Mexico border in each state that 
do not contain one or more colonias. 
 
Colonias have historically lacked access to adequate infrastructure and 
services, such as water and wastewater. Colonias were often built in 
unincorporated areas where developers were able to sell property as residential without providing basic infrastructure. In the early 1990s, 
federal efforts began to address the infrastructure needs of these 
communities. 
 
22Molly K. Richard et al., “Quantifying Doubled- Up Homelessness: Presenting a New 
Measure Using U.S. Census Microdata, ” Housing Policy Debate, vol. 34, no. 1 (2022).  
Many Colonias Are 
Connected to Water and 
Wastewater Systems, but 
Infrastructure Needs 
Remain",
